%
% A list of all IMOS compliant parameter names, associated standard names from version 20
% (http://cf-pcmdi.llnl.gov/documents/cf-standard-names/standard-name-table/20/cf-standard-name-table.html/),
% units of measurement, fill values, and valid min/max values. This list has been copied 
% verbatim from the IMOS NetCDF User's manual version 1.3, and the IMOS NetCDF 
% File Naming Convention version 1.3. Entries are in the following format:
% 
%   parameter name, is cf parameter, standard/long name, units of measurement, data code, fillValue, validMin, validMax, NetCDF 3.6.0 type
%
% For parameters which are specified as a percentage, use the word 'percent' 
% in this file - this will be automatically converted into a '%' sign. This is 
% necessary because Matlab will interpret literal '%' signs as the beginining 
% of a comment.
%

VDEN,                1, sea_surface_wave_variance_spectral_density,                                     m2 s,                              W, 999999.0, ,        ,         float
VDIR,                1, sea_surface_wave_from_direction,                                                Degree clockwise from true North,  W, 999999.0, 0.0,     360.0,    float
VOLT,                0, voltage,                                                                        V,                                 E, 999999.0, -100.0,  100.0,    float
VSF470,              0, volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_470nm, m-1 sr-1,                          E, 999999.0, ,        ,         float
VSF532,              0, volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_532nm, m-1 sr-1,                          E, 999999.0, ,        ,         float
VSF650,              0, volume_scattering_function_of_radiative_flux_in_sea_water_for_wavelength_650nm, m-1 sr-1,                          E, 999999.0, ,        ,         float
VWND,                1, northward_wind,                                                                 m s-1,                             M, 999999.0, ,        ,         float
WDIR,                1, wind_to_direction,                                                              Degrees clockwise from true North, M, 999999.0, ,        ,         float
WSPD,                1, wind_speed,                                                                     m s-1,                             M, 999999.0, ,        ,         float
WCUR,                1, upward_sea_water_velocity,                                                      m s-1,                             V, 999999.0, -5.0,    5.0,      float
